tech,code,hs_rev_canonical,issue,name,role,stage,split_weight,official_description
Geothermal,845521,HS22,stage,Kellys; Hot Rolling,Process Equipment,Midstream,0.5,Metal-rolling mills: hot or combination hot and cold rolling mills
Geothermal,845710,HS22,stage,Steam Turbine Components Production; CNC Machining,Process Equipment,Downstream,0.5,Machining centres: for working metal
Geothermal,845710,HS22,stage,Drill Pipes; CNC Machining,Process Equipment,Midstream,0.5,Machining centres: for working metal
Geothermal,845961,HS22,stage,Steam Turbine Components Production; Milling,Process Equipment,Downstream,0.5,"Machine-tools: for milling by removing metal, (not knee-type), numerically controlled"
Geothermal,845961,HS22,stage,Drill Pipes; CNC Milling,Process Equipment,Midstream,0.5,"Machine-tools: for milling by removing metal, (not knee-type), numerically controlled"
Geothermal,846021,HS12,stage,Steam Turbine Components Production; Grinding,Process Equipment,Downstream,0.5,NA
Geothermal,846021,HS12,stage,Drill Pipes; CNC Grinding,Process Equipment,Midstream,0.5,NA
Heat Pumps,841590,HS22,stage,Evaporator,Product Component,Downstream,0.5,"Air conditioning machines: with motor driven fan and elements for temperature control, parts thereof"
Heat Pumps,841590,HS22,stage,Condenser Coil / Evaporator Coil,Product Component,Midstream,0.5,"Air conditioning machines: with motor driven fan and elements for temperature control, parts thereof"
Magnets,850519,HS22,role+stage,Permanent Magnet Components,Product Component,Downstream,0.5,"Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, other than of metal"
Magnets,850519,HS22,role+stage,Parts of Permanent Magnets,Final Product,Final Product,0.5,"Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, other than of metal"
Nuclear,840140,HS22,role+stage,Nuclear Reactor Components,Product Component,Downstream,0.5,Nuclear reactors: parts thereof
Nuclear,840140,HS22,role+stage,Parts of Nuclear Reactors,Final Product,Final Product,0.5,Nuclear reactors: parts thereof
Solar,700510,HS22,role+stage,Module; Glass Sheet Casing (Float),Product Component,Downstream,0.5,"Glass: float glass and surface ground or polished glass, in sheets, non-wired, having an absorbent reflecting or non-reflecting layer"
Solar,700510,HS22,role+stage,Solar Glass; Glass Sheet Casing (Float Absorbent),Processed Material,Midstream,0.5,"Glass: float glass and surface ground or polished glass, in sheets, non-wired, having an absorbent reflecting or non-reflecting layer"
Solar,700719,HS22,role+stage,Module; Glass Sheet Casing (Toughened),Product Component,Downstream,0.5,"Glass: safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)"
Solar,700719,HS22,role+stage,Solar Glass; Glass Sheet Casing (Toughened),Processed Material,Midstream,0.5,"Glass: safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)"
Solar,848620,HS12,stage,Module Production; Automated Cell Loading,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; Webbing,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; Stringing,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; Contactless Infrared Soldering to Front and Back Silver on Cells,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; Module Lamination,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; Automated Module Edge Trimming,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; I-V Module Testing,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Module Production; Electroluminescence Inspection,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; Test Wafer,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; Saw Damage Removal and Surface Texturization,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; POCl3 Diffusion,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,"Cell Production; PSG Removal, Near Side Planarization, and Edge Isolation by Single-side Etching",Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; Rear-side Deposition of Silicon Oxide or Aluminum Oxide Layer (Furnance),Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell production; PECVD (Plasma-enhanced Chemical Vapor Deposition),Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; Laser Opening,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; Screen-print,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Cell Production; J-V Measurement and Cell Binning,Process Equipment,Downstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,848620,HS12,stage,Wafer Production; Wire Saw Cutting,Process Equipment,Midstream,0.05555555555555555,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
Solar,854142,HS22,role+stage,Solar Cells,Product Component,Downstream,0.5,"Electrical apparatus: photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels"
Solar,854142,HS22,role+stage,Solar Cells (Not Assembled into Modules),Final Product,Final Product,0.5,"Electrical apparatus: photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels"
Wind,392590,HS22,role,"Tower; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items",Processed Material,Midstream,0.5,"Plastics: builders' ware, n.e.c. or included in heading no. 3925"
Wind,392590,HS22,role,"Bearings; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items",Product Component,Midstream,0.5,"Plastics: builders' ware, n.e.c. or included in heading no. 3925"
Wind,842420,HS22,stage,Tower Production; Coating,Process Equipment,Downstream,0.5,Spray guns and similar appliances
Wind,842420,HS22,stage,Wind Capital Good; Spray Guns and Similar Appliances,Process Equipment,Midstream,0.5,Spray guns and similar appliances
